version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
4696.0,0,0,0,69,0,0,0,0,100,0,0,100,0,100,50,50,0,37,0,0,0,0,0,0,1,463,0,0,0,0
4726.0,0,0,0,77,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,0,0,0,0,0,502,0,0,0,0
4756.0,0,0,0,77,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,0,0,0,0,0,502,0,0,0,0
4786.0,0,0,0,77,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,0,0,0,0,0,502,0,0,0,0
4816.0,0,0,0,88,0,0,0,0,100,0,0,100,0,100,50,50,0,46,0,0,0,0,0,0,0,557,0,0,0,0
4846.0,0,0,0,88,0,0,0,0,100,0,0,100,0,100,50,50,0,46,0,0,0,0,0,0,0,557,0,0,0,0
4876.0,0,0,0,88,0,0,0,0,100,0,0,100,0,100,50,50,0,46,0,0,0,0,0,0,0,557,0,0,0,0
4906.0,0,0,0,88,0,0,0,0,100,0,0,100,0,100,50,50,0,46,0,0,0,0,0,0,0,557,0,0,0,0
4936.0,0,0,0,88,0,0,0,0,100,0,0,100,0,100,50,50,0,46,0,0,0,0,0,0,0,557,0,0,0,0
4966.0,0,0,0,26,0,0,0,0,100,0,0,100,0,100,50,50,0,99,0,0,0,0,0,0,0,250,0,0,0,0
4996.0,0,0,0,26,0,0,0,0,100,0,0,100,0,100,50,50,0,99,0,0,0,0,0,0,0,250,0,0,0,0
5026.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,1,1,1,27,1,0,1,0
5055.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,17,1,0,1,0
5086.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,13,0,0,0,1
5116.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,9,0,0,0,7
5146.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,5,0,0,0,0,0,0,0,6,0,0,0,7
5176.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,26,0,2,0,0,1,0,0,0,39
5206.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,26,0,2,0,0,1,0,0,0,39
5236.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,3,0,0,26,0,0,0,0,0,0,0,0,39
5266.0,0,0,0,0,0,0,0,22,0,100,0,100,50,50,0,100,0,8,0,0,103,0,0,0,2,0,0,0,0,235
5296.0,0,0,0,0,0,0,0,37,0,100,0,100,50,50,0,100,0,0,0,0,47,0,0,0,0,1,0,0,0,312
5326.0,0,0,0,0,0,0,0,37,0,100,0,100,50,50,0,100,0,0,0,0,47,0,0,0,0,1,0,0,0,312
5356.0,0,0,0,0,0,0,0,37,0,100,0,100,50,50,0,100,0,6,0,0,47,0,0,0,0,1,0,0,0,312
