version
10
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
4487,11,0,66,80,0,0,0,0,100,0,44,56,44,56,50,50,0,0,0,0,0,0,189.0,4.0,538.0,493.0,2.0,0.0,0.0,0.0
4520,10,0,67,81,0,0,0,0,100,0,44,56,44,56,50,50,0,0,0,0,0,0,185.0,4.0,540.0,499.0,1.0,0.0,0.0,0.0
4553,9,0,66,83,0,0,0,0,100,0,43,57,43,57,50,50,0,0,0,0,0,0,177.0,3.0,538.0,508.0,0.0,0.0,0.0,0.0
4586,8,0,67,84,0,0,0,0,100,0,42,58,42,58,50,50,0,0,0,0,0,0,172.0,4.0,540.0,514.0,0.0,0.0,0.0,0.0
4619,7,0,66,85,0,0,0,0,100,0,41,59,41,59,50,50,0,0,0,0,0,0,169.0,5.0,537.0,519.0,0.0,0.0,0.0,0.0
4652,7,0,66,86,0,0,0,0,100,0,41,59,41,59,50,50,0,0,0,0,0,0,165.0,3.0,535.0,521.0,0.0,0.0,0.0,0.0
4685,6,0,66,86,0,0,0,0,100,0,41,59,41,59,50,50,0,0,0,0,0,0,163.0,4.0,534.0,524.0,0.0,0.0,0.0,0.0
4718,6,0,65,87,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,160.0,4.0,532.0,525.0,0.0,0.0,0.0,0.0
4751,6,0,65,87,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,158.0,2.0,528.0,526.0,0.0,0.0,0.0,0.0
4784,5,0,65,87,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,157.0,3.0,530.0,525.0,0.0,0.0,0.0,0.0
4817,5,0,65,86,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,154.0,5.0,527.0,524.0,0.0,0.0,0.0,0.0
4850,5,0,65,86,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,153.0,3.0,527.0,520.0,0.0,0.0,0.0,0.0
4883,4,0,64,84,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,151.0,4.0,521.0,511.0,4.0,0.0,0.0,0.0
4916,4,0,63,79,0,0,0,0,100,0,41,59,41,59,50,50,0,0,0,0,0,0,148.0,2.0,514.0,489.0,18.0,0.0,0.0,0.0
4949,4,0,62,72,0,0,0,0,100,0,43,57,43,57,50,50,0,0,0,0,0,0,145.0,5.0,508.0,453.0,32.0,0.0,11.0,0.0
4982,3,0,60,62,0,0,0,0,100,0,46,54,46,54,50,50,0,0,0,0,0,0,142.0,3.0,497.0,400.0,44.0,5.0,33.0,0.0
5015,3,0,58,47,0,0,0,0,100,0,52,48,52,48,50,50,0,0,0,0,0,0,140.0,4.0,483.0,325.0,63.0,17.0,66.0,14.0
5048,2,0,56,25,0,0,0,0,100,0,66,34,66,34,50,50,0,0,0,0,0,0,133.0,5.0,475.0,216.0,73.0,28.0,96.0,85.0
5081,1,0,53,0,0,0,2,22,69,31,68,32,100,0,7,93,0,0,0,0,0,0,129.0,3.0,457.0,73.0,85.0,34.0,134.0,202.0
5114,0,0,49,0,0,0,9,49,48,52,49,51,100,0,13,87,0,0,0,0,0,0,120.0,3.0,430.0,53.0,96.0,42.0,178.0,337.0
5147,0,0,42,0,0,0,17,68,33,67,42,58,100,0,17,83,0,0,0,0,0,0,109.0,1.0,384.0,50.0,108.0,46.0,229.0,431.0
5180,0,0,32,0,0,0,23,79,23,77,36,64,100,0,19,81,0,0,0,0,0,0,93.0,0.0,320.0,32.0,113.0,52.0,266.0,489.0
5213,0,0,20,0,0,0,26,86,14,86,30,70,100,0,20,80,0,0,0,0,0,0,80.0,0.0,246.0,18.0,122.0,61.0,286.0,524.0
5246,0,0,5,0,1,0,28,91,4,96,24,76,100,0,21,79,0,0,0,0,0,0,66.0,0.0,154.0,10.0,127.0,66.0,299.0,545.0
5279,0,0,0,0,1,0,30,92,0,100,22,78,50,50,22,78,0,0,0,0,0,0,52.0,0.0,110.0,3.0,132.0,76.0,310.0,553.0
5312,0,0,0,0,2,0,31,92,0,100,23,77,50,50,23,77,0,0,0,0,0,0,47.0,0.0,94.0,0.0,136.0,75.0,317.0,554.0
5345,0,0,0,0,3,0,33,92,0,100,25,75,50,50,25,75,0,0,0,0,0,0,45.0,0.0,83.0,0.0,144.0,79.0,329.0,552.0
5378,0,0,0,0,3,0,33,92,0,100,25,75,50,50,25,75,0,0,0,0,0,0,42.0,0.0,79.0,0.0,143.0,79.0,331.0,554.0
